DATE,OBS_VALUE
1995-10-01,488.6
1996-01-01,510.1
1996-04-01,522.5
1996-07-01,541.6
1996-10-01,548.0
1997-01-01,559.3
1997-04-01,584.2
1997-07-01,589.3
1997-10-01,584.9
1998-01-01,598.9
1998-04-01,609.6
1998-07-01,632.3
1998-10-01,630.6
1999-01-01,645.1
1999-04-01,642.4
1999-07-01,658.4
1999-10-01,654.5
2000-01-01,655.8
2000-04-01,666.4
2000-07-01,670.8
2000-10-01,676.5
2001-01-01,675.0
2001-04-01,699.0
2001-07-01,707.3
2001-10-01,704.3
2002-01-01,719.9
2002-04-01,749.7
2002-07-01,750.6
2002-10-01,764.4
2003-01-01,791.8
2003-04-01,822.2
2003-07-01,831.2
2003-10-01,829.5
2004-01-01,851.7
2004-04-01,875.3
2004-07-01,878.0
2004-10-01,869.5
2005-01-01,895.5
2005-04-01,910.0
2005-07-01,912.0
2005-10-01,915.6
2006-01-01,926.5
2006-04-01,925.3
2006-07-01,935.0
2006-10-01,913.4
2007-01-01,945.0
2007-04-01,973.0
2007-07-01,968.7
2007-10-01,950.3
2008-01-01,986.1
2008-04-01,1005.3
2008-07-01,1017.2
2008-10-01,1056.9
2009-01-01,1101.9
2009-04-01,1156.7
2009-07-01,1180.3
2009-10-01,1184.7
2010-01-01,1227.8
2010-04-01,1268.5
2010-07-01,1254.0
2010-10-01,1262.4
2011-01-01,1305.7
2011-04-01,1358.3
2011-07-01,1348.6
2011-10-01,1355.4
2012-01-01,1403.2
2012-04-01,1455.4
2012-07-01,1441.8
2012-10-01,1457.9
2013-01-01,1495.3
2013-04-01,1537.1
2013-07-01,1527.8
2013-10-01,1538.1
2014-01-01,1581.0
2014-04-01,1617.7
2014-07-01,1611.3
2014-10-01,1613.6
2015-01-01,1651.1
2015-04-01,1676.8
2015-07-01,1676.0
2015-10-01,1664.4
2016-01-01,1691.5
2016-04-01,1721.2
2016-07-01,1718.7
2016-10-01,1702.9
2017-01-01,1752.5
2017-04-01,1783.8
2017-07-01,1788.7
2017-10-01,1764.6
2018-01-01,1803.9
2018-04-01,1822.7
2018-07-01,1852.7
2018-10-01,1837.8
2019-01-01,1878.4
2019-04-01,1899.2
2019-07-01,1939.9
2019-10-01,1906.4
2020-01-01,1952.2
2020-04-01,2065.2
2020-07-01,2100.1
2020-10-01,2083.8
2021-01-01,2144.4
2021-04-01,2162.6
2021-07-01,2226.3
2021-10-01,2227.6
2022-01-01,2292.4
2022-04-01,2308.7
2022-07-01,2345.1
2022-10-01,2359.7
2023-01-01,2408.0
2023-04-01,2465.0
