DATE,BOP
2008-01-01,65642
2008-02-01,65427
2008-03-01,64356
2008-04-01,65569
2008-05-01,64614
2008-06-01,64873
2008-07-01,64883
2008-08-01,64237
2008-09-01,65033
2008-10-01,62908
2008-11-01,60922
2008-12-01,61554
2009-01-01,55163
2009-02-01,54216
2009-03-01,52910
2009-04-01,52416
2009-05-01,54464
2009-06-01,53710
2009-07-01,55106
2009-08-01,53012
2009-09-01,53414
2009-10-01,54845
2009-11-01,53388
2009-12-01,55112
2010-01-01,56588
2010-02-01,57246
2010-03-01,57790
2010-04-01,59157
2010-05-01,59583
2010-06-01,61079
2010-07-01,61667
2010-08-01,60925
2010-09-01,60484
2010-10-01,59730
2010-11-01,61673
2010-12-01,60888
2011-01-01,63235
2011-02-01,64334
2011-03-01,63616
2011-04-01,64041
2011-05-01,64712
2011-06-01,65186
2011-07-01,64800
2011-08-01,66162
2011-09-01,65345
2011-10-01,65246
2011-11-01,67467
2011-12-01,65967
2012-01-01,66687
2012-02-01,66869
2012-03-01,66788
2012-04-01,66894
2012-05-01,68568
2012-06-01,65537
2012-07-01,66887
2012-08-01,67925
2012-09-01,68145
2012-10-01,67604
2012-11-01,66277
2012-12-01,67242
2013-01-01,66341
2013-02-01,67353
2013-03-01,67159
2013-04-01,69598
2013-05-01,67321
2013-06-01,67318
2013-07-01,67842
2013-08-01,67219
2013-09-01,67460
2013-10-01,69340
2013-11-01,67904
2013-12-01,67923
2014-01-01,67953
2014-02-01,67582
2014-03-01,68848
2014-04-01,68382
2014-05-01,68296
2014-06-01,69803
2014-07-01,70191
2014-08-01,69442
2014-09-01,70200
2014-10-01,71143
2014-11-01,70158
2014-12-01,70905
2015-01-01,72383
2015-02-01,72105
2015-03-01,71743
2015-04-01,74486
2015-05-01,74916
2015-06-01,76276
2015-07-01,75565
2015-08-01,73110
2015-09-01,74752
2015-10-01,74085
2015-11-01,74039
2015-12-01,74533
2016-01-01,74255
2016-02-01,73869
2016-03-01,71837
2016-04-01,74000
2016-05-01,75036
2016-06-01,72831
2016-07-01,73313
2016-08-01,74511
2016-09-01,73900
2016-10-01,73075
2016-11-01,74443
2016-12-01,77767
2017-01-01,74729
2017-02-01,76067
2017-03-01,78676
2017-04-01,76434
2017-05-01,78225
2017-06-01,77555
2017-07-01,76588
2017-08-01,77669
2017-09-01,78857
2017-10-01,78571
2017-11-01,78320
2017-12-01,79684
2018-01-01,80761
2018-02-01,79520
2018-03-01,81865
2018-04-01,82172
2018-05-01,79247
2018-06-01,82971
2018-07-01,85498
2018-08-01,82719
2018-09-01,83168
2018-10-01,85398
2018-11-01,83339
2018-12-01,83502
2019-01-01,86263
2019-02-01,85891
2019-03-01,87099
2019-04-01,87140
2019-05-01,88896
2019-06-01,85850
2019-07-01,86283
2019-08-01,86749
2019-09-01,85803
2019-10-01,86680
2019-11-01,86164
2019-12-01,84233
2020-01-01,77222
2020-02-01,79684
2020-03-01,70700
2020-04-01,56734
2020-05-01,60214
2020-06-01,65916
2020-07-01,69784
2020-08-01,69668
2020-09-01,72183
2020-10-01,72763
2020-11-01,74230
2020-12-01,75700
2021-01-01,80606
2021-02-01,80777
2021-03-01,83722
2021-04-01,81957
2021-05-01,81767
2021-06-01,85832
2021-07-01,84608
2021-08-01,86341
2021-09-01,87450
2021-10-01,89998
2021-11-01,92366
2021-12-01,91896
2022-01-01,100037
2022-02-01,98100
2022-03-01,99226
2022-04-01,100528
2022-05-01,101778
2022-06-01,105317
2022-07-01,103736
2022-08-01,108420
2022-09-01,108725
2022-10-01,107529
2022-11-01,103829
2022-12-01,104521
2023-01-01,109080
2023-02-01,109849
2023-03-01,109785
2023-04-01,109339
2023-05-01,112746
2023-06-01,111371
2023-07-01,111534
2023-08-01,110653
2023-09-01,108933
2023-10-01,110372
